vehicles used in crime,police.national.vehiclesUsedInCrime,Police,,structured,closed,PND; PNC
collisions,police.collisions,Police,,structured,closed,
suspect risk,police.commandAndControl.suspectRisk,Police,,structured,closed,
notes,police.commandAndControl.notes,Police,criminalInjuriesCompensationAuthority.cases,structured,shared,
arrest details,police.arrestDetails,Police,,structured,closed,Niche; Athena
substance testing,police.substanceTesting,Police,,structured,closed,
victim impact statement,victim impact statement,Police,cps,structured,shared,
written statements,police.commandAndControl.writtenStatements,Police,defenseFirms; laa.caseInformation; criminalInjuriesCompensationAuthority.cases,structured,shared,
defendent interview,police.commandAndControl.defendentInterview,Police,laa.caseInformation; criminalInjuriesCompensationAuthority.cases,structured,shared,
persons,police.commandAndControl.persons,Police,,structured,shared,
Identity of arrested persons - biographics,police.arrestedPersonsID.biographics,Police,police.commandAndControl; visaAndImmigration.immigrationStatusBiographics; visaAndImmigration.asylumStatusBiographics; visaAndImmigration.visaStatusBiographics; borderForce,structured,shared,
Identities at crime scenes- biometric,police.arrestedPersonsID.biometrics,Police,police.commandAndControl; visaAndImmigration.immigrationStatusBiometrics; visaAndImmigration.asylumStatusBiometrics; visaAndImmigration.visaStatusBiometrics; borderForce,structured,shared,
disposals,police.national.disposals,Police,police.arrestedPersonsID.biometrics,structured,closed,PND; PNC
EU nationals disposals,police.national.EUNationalsDisposals,Police,european.SISII,structured,shared,PND; PNC
events,police.events,Police,police.commandAndControl,structured,closed,
disqualified drivers ,police.national.disqualifiedDrivers,Police,dvla,structured,shared,
property ,police.national.property ,Police,dvla; hmpo,structured,shared,PND; PNC
999,police.999,Police,police.events,structured,closed,
missing,police.missing,Police,police.events,structured,closed,
wanted,police.wanted,Police,police.events; borderForce; european.SISII; european.EU27; european.alerts; european.persons; european.property; european.travelDocuments,structured,shared,
multimedia evidence,police.multimediaEvidence,Police ,cps.criminalCase.evidence,unstructured,shared,
biometric interface ,police.national.biometricInterface ,Police ,,structured,closed,PND; PNC
intelligence systems,police.intelligenceSystems,Police ,police.national,structured,closed,
case & custody records,police.national.caseAndCustodyRecords,Police ,police.national.custody,structured,closed,PND; PNC; Niche; Athena
custody images,police.national.custodyImages,Police ,police.national.caseAndCustodyRecords,unstructured,closed,PND; PNC; Niche; Athena
crime,police.national.crime,Police,,structured,closed,PND; PNC
child abuse,police.national.childAbuse,Police,,structured,closed,PND; PNC
domestic abuse,police.national.domesticAbuse,Police,,structured,closed,PND; PNC
intelligence,police.national.intelligence,Police,hmpps.custody.intelligence; police.trident.tensionSummary,structured,shared,PND; PNC
tension summary,police.trident.tensionSummary,Police,hmpps.custody.intelligence,structured,shared,
Highly Sensitive Unused Materials,police.highlySensitiveUnusedMaterial,Police,,,,
driver record,police.driverRecord,Police,,unstructured,closed,
custody,police.national.custody,Police,,structured,closed,PND; PNC
cases,publicDefenderService.cases,public defender service,laa.caseWorkGlobal,structured,shared,PND; PNC
secure children's homes,secureChildrensHomes,secure children's homes,youthOffendingInstitutions; youthOffendingTeams; secureTrainingCentres; yjb.case; educationProviders; NHS; localAuthorities,structured,shared,
secure training centres,secureTrainingCentres,secure training centres,youthOffendingInstitutions; secureChildrensHomes; youthOffendingTeams; yjb.case; educationProviders; NHS; localAuthorities,structured,shared,
staff vetting,securityIndustryAuthority.staffVetting,Security Industry Authority,,structured,shared,
UK immigration ,securityIndustryAuthority.UKImmigration,Security Industry Authority,visaAndImmigration.inOutUK; borderForce,structured,shared,
in / out UK,visaAndImmigration.inOutUK,VisaAndImmigration,,structured,closed,
immigration status biographics,visaAndImmigration.immigrationStatusBiographics,VisaAndImmigration,hmpo.passportBiographics,structured,shared,
asylum status biographics,visaAndImmigration.asylumStatusBiographics,VisaAndImmigration,hmpo.passportBiographics,structured,shared,
visa status biographics,visaAndImmigration.visaStatusBiographics,VisaAndImmigration,hmpo.passportBiographics,structured,shared,
immigration status biometrics,visaAndImmigration.immigrationStatusBiometrics,VisaAndImmigration,hmpo.passportBiometrics,structured,shared,
asylum status biometrics,visaAndImmigration.asylumStatusBiometrics,VisaAndImmigration,hmpo.passportBiometrics,structured,shared,
visa status biometrics,visaAndImmigration.visaStatusBiometrics,VisaAndImmigration,hmpo.passportBiometrics,structured,shared,
intelligence,yjb.case.intelligence,YJB,youthOffendingInstitutions; secureChildrensHomes; youthOffendingTeams; secureTrainingCentres; educationProviders; NHS; localAuthorities,structured,shared,eAsset; YJB application framework
offences,yjb.case.offences,YJB,youthOffendingInstitutions; secureChildrensHomes; youthOffendingTeams; secureTrainingCentres; educationProviders; NHS; localAuthorities,structured,shared,eAsset; YJB application framework
court hearings ,yjb.case.courtHearings ,YJB,youthOffendingInstitutions; secureChildrensHomes; youthOffendingTeams; secureTrainingCentres; educationProviders; NHS; localAuthorities,structured,shared,eAsset; YJB application framework
placements,yjb.case.placements,YJB,youthOffendingInstitutions; secureChildrensHomes; youthOffendingTeams; secureTrainingCentres; educationProviders; NHS; localAuthorities,structured,shared,eAsset; YJB application framework
assessments,yjb.case.assessments,YJB,youthOffendingInstitutions; secureChildrensHomes; youthOffendingTeams; secureTrainingCentres; educationProviders; NHS; localAuthorities,structured,shared,eAsset; YJB application framework
interventions,yjb.case.interventions,YJB,youthOffendingInstitutions; secureChildrensHomes; youthOffendingTeams; secureTrainingCentres; educationProviders; NHS; localAuthorities,structured,shared,eAsset; YJB application framework
health,yjb.case.health,YJB,youthOffendingInstitutions; secureChildrensHomes; youthOffendingTeams; secureTrainingCentres; educationProviders; NHS; localAuthorities,structured,shared,eAsset; YJB application framework
case,yjb.case,YJB,youthOffendingInstitutions; secureChildrensHomes; youthOffendingTeams; secureTrainingCentres; educationProviders; NHS; localAuthorities,,,
contract management and monitoring,yjb.contractManagementAndMonitoring,YJB,,structured,closed,
MI,yjb.MI,YJB,,structured,closed,
minimising and managing physical restraint (MMPR),yjb.minimisingAndManagingPhysicalRestraint,YJB,,structured,closed,
quarterly YOT submissions,yjb.quarterlyYOTSubmissions,YJB,,structured,closed,
sentence & risk management,yjb.sentenceAndRiskManagement,YJB,hmpps; police,structured,shared,
convictions & preventions,yjb.convictionsAndPreventions,YJB,hmpps; police,structured,shared,
serious incidents in the community,yjb.seriousIncidentsInTheCommunity,YJB,hmpps; police,structured,shared,
case management data ,yjb.case,YJB,hmpps; police; youthOffendingInstitutions; youthOffendingTeams; secureChildrensHomes; secureTrainingCentres,structured,shared,eAsset; YJB application framework
Youth Offending Institution,youthOffendingInstitutions,Youth Offending Institution,youthOffendingTeams; secureChildrensHomes; secureTrainingCentres; yjb.case; educationProviders; NHS; localAuthorities,structured,shared,PNOMIS; eAsset
Youth Offending Team,youthOffendingTeams,Youth Offending Team,youthOffendingInstitutions; secureChildrensHomes; secureTrainingCentres; yjb.case; educationProviders; NHS; localAuthorities; police.intelligenceSystems,structured,shared,PNOMIS; eAsset
border force,borderForce,Border Force,,structured,closed,
driver retraining,police.driverRetraining,Police,,structured,closed,
footwear,police.footwear,Police,,structured,closed,
ballistics,police.ballistics,Police,,structured,closed,
child abuse images,police.childAbuseImages,Police,,unstructured,closed,
Warnings Index and Control Unit,warningsIndexAndControlUnit,Warnings Index and Control Unit,,structured,shared,
Debt Collection Agencies,debtCollectionAgencies,Debt Collection Agencies,,structured,,
Other Prosecuting Authorities,otherProsecutingAuthorities,Other Prosecuting Authorities,,structured,,
Defense Firms,defenseFirms,Defense Firms,laa.caseInformation,structured,,
Age UK,ageUK,Age UK,,structured,,
forced marriage unit,homeOffice.forcedMarriageUnit,Home Office,officeOfThePublicGuardian.deputyships; officeOfThePublicGuardian.legalPowersOfAttorney,structured,shared,
banks,banks,Banks,,structured,,
investigations,officeOfThePublicGuardian.investigations,Office of the Public Guardian,banks,structured,closed,
Solicitors Regulatory Authority,solicitorsRegulatoryAuthority,Solicitors Regulatory Authority,,structured,,
Financial Conduct Authority,financialConductAuthority,Financial Conduct Authority,,structured,,
legal powers of attorney,officeOfThePublicGuardian.legalPowersOfAttorney,Office of the Public Guardian,hmcts.cases; dwp.benefits; homeOffice.forcedMarriageUnit; solicitorsRegulatoryAuthority; financialConductAuthority; ageUK; officeOfThePublicGuardian.investigations,structured,open,MERIS; SIRIUS
